#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
139939	852646	854213	33033	34449	YGL246C	YOR048C	RAI1	RAT1	-	HKE1|TAP1|XRN2	Biochemical Activity	physical	Xue Y (2000)	10805743	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139940	853562	851717	33854	32193	YJR099W	YDR139C	YUH1	RUB1	-	-	Biochemical Activity	physical	Linghu B (2002)	12455997	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139941	852993	853940	33344	34197	YGR101W	YKR066C	PCP1	CCP1	MDM37|RBD1	-	Biochemical Activity	physical	McQuibban GA (2003)	12774122	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139942	852993	854386	33344	34606	YGR101W	YOR211C	PCP1	MGM1	MDM37|RBD1	MNA1	Biochemical Activity	physical	McQuibban GA (2003)	12774122	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139943	856859	851335	36866	31853	YER122C	YDL192W	GLO3	ARF1	-	-	Biochemical Activity	physical	Poon PP (1999)	9927415	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139944	856859	851418	36866	31924	YER122C	YDL137W	GLO3	ARF2	-	-	Biochemical Activity	physical	Poon PP (1999)	9927415	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139945	856899	850930	36905	31499	YER155C	YLR229C	BEM2	CDC42	IPL2|SUP9|TSL1	-	Biochemical Activity	physical	Marquitz AR (2002)	12145202	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139946	853513	854938	33807	35102	YJR053W	YML064C	BFA1	TEM1	IBD1	-	Biochemical Activity	physical	Geymonat M (2002)	12048186	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139947	855077	854938	35231	35102	YMR055C	YML064C	BUB2	TEM1	PAC7	-	Biochemical Activity	physical	Geymonat M (2002)	12048186	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139948	853770	853056	34041	33400	YKL092C	YGR152C	BUD2	RSR1	ERC25|CLA2	BUD1	Biochemical Activity	physical	Park HO (1993)	8371782	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
139949	851372	851335	31884	31853	YDL226C	YDL192W	GCS1	ARF1	-	-	Biochemical Activity	physical	Poon PP (1999)	9927415	559292	559292	Low Throughput	-	No Modification	-	-	-	BioGRID
