#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
139961	851800	855440	32268	35560	YDR214W	YNL281W	AHA1	HCH1	-	-	Co-crystal Structure	physical	Meyer P (2004)	14739935	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139962	850701	850701	31288	31288	YLR014C	YLR014C	PPR1	PPR1	-	-	Co-crystal Structure	physical	Marmorstein R (1994)	7958913	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139963	856218	853456	36269	33756	YPR103W	YJL001W	PRE2	PRE3	SRR2|DOA3|PRG1	CRL21	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139964	856218	854328	36269	34553	YPR103W	YOR157C	PRE2	PUP1	SRR2|DOA3|PRG1	-	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139965	856218	856830	36269	36840	YPR103W	YER094C	PRE2	PUP3	SRR2|DOA3|PRG1	SCS32	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139966	853456	854328	33756	34553	YJL001W	YOR157C	PRE3	PUP1	CRL21	-	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139967	853456	856830	33756	36840	YJL001W	YER094C	PRE3	PUP3	CRL21	SCS32	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139968	850611	853456	31208	33756	YFR050C	YJL001W	PRE4	PRE3	-	CRL21	Co-crystal Structure	physical	Ramos PC (2004)	14722099	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139969	850611	854328	31208	34553	YFR050C	YOR157C	PRE4	PUP1	-	-	Co-crystal Structure	physical	Ramos PC (2004)	14722099	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139970	850611	853456	31208	33756	YFR050C	YJL001W	PRE4	PRE3	-	CRL21	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139971	850611	854328	31208	34553	YFR050C	YOR157C	PRE4	PUP1	-	-	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139972	850611	856830	31208	36840	YFR050C	YER094C	PRE4	PUP3	-	SCS32	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139973	854328	856830	34553	36840	YOR157C	YER094C	PUP1	PUP3	-	SCS32	Co-crystal Structure	physical	Groll M (1997)	9087403	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139974	853854	853854	34117	34117	YKL015W	YKL015W	PUT3	PUT3	-	-	Co-crystal Structure	physical	Swaminathan K (1997)	9303004	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139975	850713	851770	31300	32242	YLR026C	YDR189W	SED5	SLY1	-	-	Co-crystal Structure	physical	Bracher A (2002)	12426383	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139976	856891	853161	36897	33497	YER148W	YGR246C	SPT15	BRF1	TBP1|BTF1	TDS4|PCF4	Co-crystal Structure	physical	Juo ZS (2003)	12660736	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139977	856201	856891	36257	36897	YPR086W	YER148W	SUA7	SPT15	SOH4	TBP1|BTF1	Co-crystal Structure	physical	Wang  SM (2001)	11223526	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
