#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
140012	852276	850450	32692	31060	YBL007C	YCR088W	SLA1	ABP1	-	-	FRET	physical	Warren DT (2002)	11950888	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
143270	855828	856499	35915	36532	YPL248C	YHR099W	GAL4	TRA1	GAL81	-	FRET	physical	Bhaumik SR (2004)	14871930	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145346	853385	853808	33693	34076	YJL061W	YKL057C	NUP82	NUP120	HRB187	RAT2	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145347	853808	853385	34076	33693	YKL057C	YJL061W	NUP120	NUP82	RAT2	HRB187	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145348	853385	855066	33693	35221	YJL061W	YMR047C	NUP82	NUP116	HRB187	NSP116	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145349	855066	853385	35221	33693	YMR047C	YJL061W	NUP116	NUP82	NSP116	HRB187	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145350	855184	850552	35328	31150	YMR153W	YFR002W	NUP53	NIC96	-	-	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145351	850552	855184	31150	35328	YFR002W	YMR153W	NIC96	NUP53	-	-	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145352	854265	854868	34496	35040	YOR098C	YML103C	NUP1	NUP188	-	-	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145353	854868	854265	35040	34496	YML103C	YOR098C	NUP188	NUP1	-	-	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145354	854868	853957	35040	34213	YML103C	YKR082W	NUP188	NUP133	-	RAT3	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145355	853957	854868	34213	35040	YKR082W	YML103C	NUP133	NUP188	RAT3	-	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145356	854868	855066	35040	35221	YML103C	YMR047C	NUP188	NUP116	-	NSP116	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145357	852788	853499	33159	33793	YGL092W	YJR042W	NUP145	NUP85	RAT10	RAT9	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145358	853499	852788	33793	33159	YJR042W	YGL092W	NUP85	NUP145	RAT9	RAT10	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145359	853499	852703	33793	33081	YJR042W	YGL172W	NUP85	NUP49	RAT9	NSP49	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145360	853808	852788	34076	33159	YKL057C	YGL092W	NUP120	NUP145	RAT2	RAT10	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145361	853808	854868	34076	35040	YKL057C	YML103C	NUP120	NUP188	RAT2	-	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145362	853808	850552	34076	31150	YKL057C	YFR002W	NUP120	NIC96	RAT2	-	FRET	physical	Damelin M (2002)	12496130	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
