#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
139986	852294	853364	32710	33675	YBR009C	YJL081C	HHF1	ARP4	-	ACT3	Far Western	physical	Harata M (1999)	10436015	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139987	852295	853364	32711	33675	YBR010W	YJL081C	HHT1	ARP4	SIN2|BUR5	ACT3	Far Western	physical	Harata M (1999)	10436015	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139988	851811	853364	32277	33675	YDR225W	YJL081C	HTA1	ARP4	H2A1|SPT11	ACT3	Far Western	physical	Harata M (1999)	10436015	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139989	851810	853364	32276	33675	YDR224C	YJL081C	HTB1	ARP4	SPT12	ACT3	Far Western	physical	Harata M (1999)	10436015	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139990	855873	852747	35957	33121	YPL228W	YGL130W	CET1	CEG1	CES5	-	Far Western	physical	Tsukamoto T (1997)	9345280	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139991	851415	853475	31921	33773	YDL140C	YJR017C	RPO21	ESS1	SUA8|RPB220|RPB1	PIN1|PTF1	Far Western	physical	Wu X (2000)	10899126	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139992	854106	855828	34353	35915	YOL051W	YPL248C	GAL11	GAL4	SPT13|ABE1|MED15|SDS4|RAR3	GAL81	Far Western	physical	Lee YC (1999)	10082564	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139993	856709	852860	36723	33222	YEL009C	YGL025C	GCN4	PGD1	ARG9|AAS101|AAS3	MED3|HRS1	Far Western	physical	Park JM (2000)	11073972	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139994	854042	851701	34293	32179	YOL108C	YDR123C	INO4	INO2	-	DIE1|SCS1	Far Western	physical	Schwank S (1995)	7862526	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
139995	854353	851996	34576	32449	YOR181W	YDR388W	LAS17	RVS167	BEE1	-	Far Western	physical	Friesen H (2003)	12857883	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
