#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
144846	850354	853595	30977	33886	YCL001W	YJR131W	RER1	MNS1	-	-	PCA	physical	Massaad MJ (2001)	11792827	559292	559292	Low Throughput	-	-	-	Interaction determined by Split Ubiquitin Assay	-	BioGRID
144847	850354	855760	30977	35850	YCL001W	YNR026C	RER1	SEC12	-	SED2	PCA	physical	Massaad MJ (2001)	11792827	559292	559292	Low Throughput	-	-	-	Interaction determined by Split Ubiquitin Assay	-	BioGRID
144848	850354	855874	30977	35958	YCL001W	YPL227C	RER1	ALG5	-	-	PCA	physical	Massaad MJ (2001)	11792827	559292	559292	Low Throughput	-	-	-	Interaction determined by Split Ubiquitin Assay, weak interaction	-	BioGRID
151049	853455	856716	33755	36729	YJL002C	YEL002C	OST1	WBP1	NLT1	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151050	856716	853455	36729	33755	YEL002C	YJL002C	WBP1	OST1	-	NLT1	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151051	852407	852407	32814	32814	YBR110W	YBR110W	ALG1	ALG1	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151052	853455	853455	33755	33755	YJL002C	YJL002C	OST1	OST1	NLT1	NLT1	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151053	851366	851366	31879	31879	YDL232W	YDL232W	OST4	OST4	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151054	852625	852625	33013	33013	YGL226C-A	YGL226C-A	OST5	OST5	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151055	856716	856716	36729	36729	YEL002C	YEL002C	WBP1	WBP1	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151056	855180	855180	35325	35325	YMR149W	YMR149W	SWP1	SWP1	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151059	854252	853455	34483	33755	YOR085W	YJL002C	OST3	OST1	-	NLT1	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151060	854252	854270	34483	34500	YOR085W	YOR103C	OST3	OST2	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151061	854252	851366	34483	31879	YOR085W	YDL232W	OST3	OST4	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151062	854252	852625	34483	33013	YOR085W	YGL226C-A	OST3	OST5	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151063	854252	856716	34483	36729	YOR085W	YEL002C	OST3	WBP1	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151064	854252	852862	34483	33224	YOR085W	YGL022W	OST3	STT3	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151065	854989	853455	35150	33755	YML019W	YJL002C	OST6	OST1	-	NLT1	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151066	854989	854270	35150	34500	YML019W	YOR103C	OST6	OST2	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151067	854989	851366	35150	31879	YML019W	YDL232W	OST6	OST4	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151068	854989	856716	35150	36729	YML019W	YEL002C	OST6	WBP1	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151069	854989	852862	35150	33224	YML019W	YGL022W	OST6	STT3	-	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151077	854252	856821	34483	36832	YOR085W	YER087C-B	OST3	SBH1	-	SEB1|YER087C-A	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151078	854989	856740	35150	36753	YML019W	YER019C-A	OST6	SBH2	-	SEB2	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151081	856821	853455	36832	33755	YER087C-B	YJL002C	SBH1	OST1	SEB1|YER087C-A	NLT1	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151082	856821	854270	36832	34500	YER087C-B	YOR103C	SBH1	OST2	SEB1|YER087C-A	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151083	856821	851366	36832	31879	YER087C-B	YDL232W	SBH1	OST4	SEB1|YER087C-A	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151084	856821	856716	36832	36729	YER087C-B	YEL002C	SBH1	WBP1	SEB1|YER087C-A	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151085	856821	852862	36832	33224	YER087C-B	YGL022W	SBH1	STT3	SEB1|YER087C-A	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151086	856740	853455	36753	33755	YER019C-A	YJL002C	SBH2	OST1	SEB2	NLT1	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151087	856740	854270	36753	34500	YER019C-A	YOR103C	SBH2	OST2	SEB2	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151088	856740	851366	36753	31879	YER019C-A	YDL232W	SBH2	OST4	SEB2	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
151089	856740	856716	36753	36729	YER019C-A	YEL002C	SBH2	WBP1	SEB2	-	PCA	physical	Yan A (2005)	16096345	559292	559292	Low Throughput	-	-	-	split-ubiquitin assay	-	BioGRID
