#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
117015	4087	75141	110262	217250	-	-	SMAD2	Rasd2	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	4930526B11Rik|TEM-2|Rhes|TEM2|AU045414	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117016	4087	19376	110262	202576	-	RP23-185A18.5	SMAD2	Rab34	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	AI326479|Rah|Rah1	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117017	4087	69159	110262	213261	-	-	SMAD2	Rhebl1	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	1810036J22Rik	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117018	4087	72433	110262	215371	-	-	SMAD2	Rab38	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	2310011F14Rik|AU043391|cht	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117019	4087	69288	110262	213337	-	-	SMAD2	Rhobtb1	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	AI573858|AV350930|AI173445|1700008H16Rik|3110048G13Rik	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117020	4087	54126	110262	207566	-	-	SMAD2	Arhgef7	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	p85Cool1|betaPix-c|Cool|betaPix-b|betaPix|PIX|p85SPR|cool-1|Pak3bp|mKIAA0142	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117021	4087	78294	110262	219309	-	RP23-92B18.5	SMAD2	Rps27a	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	0610006J14Rik|Ubb|Uba52|Ubc	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117022	4087	57443	110262	208300	-	RP23-261L3.4	SMAD2	Fbxo3	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	1700026K02Rik|1200002G09Rik|Fba|AI046358	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117023	4087	18412	110262	201982	-	RP23-319B15.3	SMAD2	Sqstm1	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	p62|STAP|Osi|OSF-6|A170	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117024	4087	52432	110262	206582	-	-	SMAD2	Ppp2r2d	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	1300017E19Rik|MDS026|D7Ertd753e	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117025	4087	26397	110262	204951	-	RP23-467E19.1	SMAD2	Map2k3	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	MKK3|MEK3|AW212142|Prkmk3|mMKK3b	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117026	4087	74137	110262	216519	-	-	SMAD2	Nuak2	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	Snark|mKIAA0537|Omphk2|1200013B22Rik	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117027	4087	16589	110262	200956	-	-	SMAD2	Uhmk1	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	Kist|KIS|AU021979|4930500M09Rik|AI449218|4732477C12Rik|AA673513	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117028	4087	73341	110262	215941	-	RP23-372E6.1	SMAD2	Arhgef6	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	alpha-PIX|4930592P22Rik|1600028C08Rik|1700038J06Rik	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117029	4087	50780	110262	206112	-	RP23-47N2.1	SMAD2	Rgs3	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	4930506N09Rik|C2pa|PDZ-RGS3|C2PA-RGS3|RGS3S	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117030	4087	16876	110262	201161	-	-	SMAD2	Lhx9	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	BB104635|LH2B|3110009O07Rik	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117031	4087	66854	110262	211764	-	-	SMAD2	Trim35	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	A430106H13Rik|0710005M05Rik|Mair|HLS5|AW046487|mKIAA1098|NC8	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117032	4087	66894	110262	211793	-	-	SMAD2	Wwp2	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	AW554328|AA690238|AIP2|1300010O06Rik	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117033	4087	80837	110262	219817	-	-	SMAD2	Rhoj	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	1110005O19Rik|Arhj|TC10L|AW210585|TCL	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117034	4087	11854	110262	198198	-	-	SMAD2	Rhod	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	Arhd|RhoHP1|Rho|RhoM|AI326383	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117035	4087	80981	110262	219856	-	RP23-382C19.6	SMAD2	Arl4d	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	Arl5|Arfl4|ARL6|AW456149|Arf4l|1110036H21Rik	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117036	4087	16801	110262	201115	-	-	SMAD2	Arhgef1	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	Lsc|Lbcl2	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117037	4087	71713	110262	214875	-	-	SMAD2	Cdc40	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	PRP17|EHB3|1200003H23Rik	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117038	4087	108960	110262	224495	-	-	SMAD2	Irak2	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	AI649099|6330415L08Rik|IRAK-2	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117039	4087	16909	110262	201179	-	RP23-261L3.1	SMAD2	Lmo2	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	Ttg2|Rbtn-2|Rbtn2|Rhom-2	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117040	4087	17126	110262	201275	-	-	SMAD2	Smad2	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	Smad-2|Madr2|mMad2|7120426M23Rik|Madh2	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117041	4087	17127	110262	201276	-	RP23-63E8.1	SMAD2	Smad3	hMAD-2|MADR2|JV18|hSMAD2|JV18-1|MADH2	AU022421|Madh3	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117042	4088	66922	110263	211811	-	-	SMAD3	Rras2	HSPC193|MADH3|HsT17436|JV15-2|LDS1C	2610016H24Rik|TC21|C86394	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117043	4088	54126	110263	207566	-	-	SMAD3	Arhgef7	HSPC193|MADH3|HsT17436|JV15-2|LDS1C	p85Cool1|betaPix-c|Cool|betaPix-b|betaPix|PIX|p85SPR|cool-1|Pak3bp|mKIAA0142	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
117044	4088	52432	110263	206582	-	-	SMAD3	Ppp2r2d	HSPC193|MADH3|HsT17436|JV15-2|LDS1C	1300017E19Rik|MDS026|D7Ertd753e	Affinity Capture-Luminescence	physical	Barrios-Rodiles M (2005)	15761153	9606	10090	High Throughput	-	-	-	-	-	BioGRID
