Year	Interactions	Transitivity	CPL	Assortativity
1999	312	0.198487712665	4	0.0289031287763
2000	496	0.14552238806	6	0.0254276467869
2001	592	0.151036525173	5	0.0287301877061
2002	664	0.138952164009	7	0.0666591944524
2003	710	0.0996250669523	9	-0.0599039810376
2004	729	0.101456815817	9	-0.0614988678469
2005	759	0.097054563013	8	-0.0626025480396
2006	778	0.0937937470835	8	-0.0667425213931
2007	795	0.0924331671953	8	-0.0661352116939
2008	826	0.0941586748038	8	-0.0612291020574
2009	839	0.0951564509216	8	-0.0603442461228
2010	839	0.0951564509216	8	-0.0603442461228
2011	843	0.0931989924433	7	-0.0621238336379
2012	843	0.0931989924433	7	-0.0621238336379
2013	843	0.0931989924433	7	-0.0621238336379
2014	843	0.0931989924433	7	-0.0621238336379
