Year	Interactions	Transitivity	CPL	Assortativity
1999	121	0.38961038961	2	0.356589147287
2000	383	0.148080438757	4	0.0311226038323
2001	514	0.161172161172	6	0.0560001743017
2002	595	0.148916967509	6	0.112732339168
2003	648	0.100659077292	8	-0.0635195491889
2004	675	0.101490825688	9	-0.0660077728416
2005	711	0.0972222222222	8	-0.0692326239772
2006	734	0.0938430983118	8	-0.0721499052106
2007	764	0.0918944392083	8	-0.0704267030184
2008	813	0.096	8	-0.0618872623525
2009	831	0.0959792477302	8	-0.0612644211082
2010	831	0.0959792477302	8	-0.0612644211082
2011	842	0.0931989924433	8	-0.0624574196166
2012	842	0.0931989924433	8	-0.0624574196166
2013	843	0.0931989924433	8	-0.0621238336379
2014	843	0.0931989924433	8	-0.0621238336379
