Year	Interactions	Transitivity	CPL	Assortativity
1999	302	0.309058614565	2	0.0459620350263
2000	759	0.240888382688	7	0.0374360427619
2001	1064	0.235273972603	11	0.0606706888274
2002	1292	0.225790265931	10	0.0395302735031
2003	1463	0.19520935496	10	-0.0599935126155
2004	1564	0.201546391753	9	-0.0578996485995
2005	1713	0.210150107219	9	-0.0628428483784
2006	1801	0.207959936742	9	-0.0632152782014
2007	1894	0.210903351141	9	-0.0553801243297
2008	2033	0.21412100582	8	-0.055853058407
2009	2113	0.213895077983	8	-0.0469584508217
2010	2133	0.217330398239	8	-0.0471916719639
2011	2164	0.212991819244	9	-0.054093312355
2012	2174	0.214616721375	9	-0.0550406353396
2013	2174	0.214616721375	9	-0.0550406353396
2014	2175	0.214554579674	9	-0.0550818857608
