#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
140013	854954	850872	35117	31446	YML051W	YLR175W	GAL80	CBF5	-	-	Protein-peptide	physical	Hertveldt K (2003)	12706896	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
140014	854954	855828	35117	35915	YML051W	YPL248C	GAL80	GAL4	-	GAL81	Protein-peptide	physical	Hertveldt K (2003)	12706896	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
140015	854954	856570	35117	36599	YML051W	YHR165C	GAL80	PRP8	-	SLT21|USA2|RNA8|DNA39|DBF3	Protein-peptide	physical	Hertveldt K (2003)	12706896	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
140016	854954	853096	35117	33436	YML051W	YGR184C	GAL80	UBR1	-	PTR1	Protein-peptide	physical	Hertveldt K (2003)	12706896	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
140017	854954	850312	35117	30939	YML051W	YCL045C	GAL80	EMC1	-	-	Protein-peptide	physical	Hertveldt K (2003)	12706896	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
143606	852747	855873	33121	35957	YGL130W	YPL228W	CEG1	CET1	-	CES5	Protein-peptide	physical	Ho CK (1999)	10572165	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
143623	851396	852931	31905	33287	YDL159W	YGR040W	STE7	KSS1	-	-	Protein-peptide	physical	Bardwell AJ (2001)	11134045	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
144408	854353	856514	34576	36547	YOR181W	YHR114W	LAS17	BZZ1	BEE1	LSB7	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144409	854353	856854	34576	36863	YOR181W	YER118C	LAS17	SHO1	BEE1	SSU81	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144410	854353	851996	34576	32449	YOR181W	YDR388W	LAS17	RVS167	BEE1	-	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144411	854353	856409	34576	36445	YOR181W	YHR016C	LAS17	YSC84	BEE1	LSB4	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144412	854353	850580	34576	31177	YOR181W	YFR024C-A	LAS17	LSB3	BEE1	YFR024C	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144413	854353	853037	34576	33384	YOR181W	YGR136W	LAS17	LSB1	BEE1	-	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144414	854353	856277	34576	36321	YOR181W	YPR154W	LAS17	PIN3	BEE1	LSB2	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144415	854353	853729	34576	34006	YOR181W	YKL129C	LAS17	MYO3	BEE1	-	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144416	854353	853433	34576	33738	YOR181W	YJL020C	LAS17	BBC1	BEE1	MTI1|YJL021C	Protein-peptide	physical	Tong AH (2002)	11743162	559292	559292	High Throughput	-	-	-	-	-	BioGRID
144444	855950	851803	36030	32270	YPL153C	YDR217C	RAD53	RAD9	MEC2|SPK1|LSD1	-	Protein-peptide	physical	Yuan C (2001)	11846567	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
144445	855950	851803	36030	32270	YPL153C	YDR217C	RAD53	RAD9	MEC2|SPK1|LSD1	-	Protein-peptide	physical	Wang P (2000)	10993733	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
144446	850450	855711	31060	35806	YCR088W	YNL020C	ABP1	ARK1	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Abp1 SH3 interactions	-	BioGRID
144447	850450	854819	31060	34994	YCR088W	YIR003W	ABP1	AIM21	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Abp1 SH3 interactions	-	BioGRID
144448	850450	854549	31060	34750	YCR088W	YOR367W	ABP1	SCP1	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Abp1 SH3 interactions	-	BioGRID
144449	850450	854713	31060	34897	YCR088W	YIL095W	ABP1	PRK1	-	PAK1	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Abp1 SH3 interactions	-	BioGRID
144450	850450	855584	31060	35688	YCR088W	YNL138W	ABP1	SRV2	-	CAP	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Abp1 SH3 interactions	-	BioGRID
144451	850450	855630	31060	35730	YCR088W	YNL094W	ABP1	APP1	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Abp1 SH3 interactions	-	BioGRID
144452	851996	854819	32449	34994	YDR388W	YIR003W	RVS167	AIM21	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Rvs167 SH3 interaction	-	BioGRID
144453	851996	852405	32449	32812	YDR388W	YBR108W	RVS167	AIM3	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Rvs167 SH3 interaction	-	BioGRID
144454	851996	852541	32449	32934	YDR388W	YBR239C	RVS167	ERT1	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Rvs167 SH3 interaction	-	BioGRID
144455	851996	856301	32449	36344	YDR388W	YPR171W	RVS167	BSP1	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Rvs167 SH3 interaction	-	BioGRID
144456	851996	850836	32449	31413	YDR388W	YLR144C	RVS167	ACF2	-	ENG2|PCA1	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Rvs167 SH3 interaction	-	BioGRID
144457	851996	853545	32449	33838	YDR388W	YJR083C	RVS167	ACF4	-	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Rvs167 SH3 interaction	-	BioGRID
144458	851996	854353	32449	34576	YDR388W	YOR181W	RVS167	LAS17	-	BEE1	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Rvs167 SH3 interaction	-	BioGRID
144459	851996	855230	32449	35370	YDR388W	YMR192W	RVS167	GYL1	-	APP2	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Rvs167 SH3 interaction	-	BioGRID
144460	850580	852405	31177	32812	YFR024C-A	YBR108W	LSB3	AIM3	YFR024C	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Yfr024c SH3 interaction	-	BioGRID
144461	850580	852541	31177	32934	YFR024C-A	YBR239C	LSB3	ERT1	YFR024C	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Yfr024c SH3 interaction	-	BioGRID
144462	850580	856301	31177	36344	YFR024C-A	YPR171W	LSB3	BSP1	YFR024C	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Yfr024c SH3 interaction	-	BioGRID
144463	850580	850836	31177	31413	YFR024C-A	YLR144C	LSB3	ACF2	YFR024C	ENG2|PCA1	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Yfr024c SH3 interaction	-	BioGRID
144464	850580	855230	31177	35370	YFR024C-A	YMR192W	LSB3	GYL1	YFR024C	APP2	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Yfr024c SH3 interaction	-	BioGRID
144465	850580	853545	31177	33838	YFR024C-A	YJR083C	LSB3	ACF4	YFR024C	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Yfr024c SH3 interaction	-	BioGRID
144466	850580	854353	31177	34576	YFR024C-A	YOR181W	LSB3	LAS17	YFR024C	BEE1	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Yfr024c SH3 interaction	-	BioGRID
144467	856409	852405	36445	32812	YHR016C	YBR108W	YSC84	AIM3	LSB4	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Ysc84 SH3 interaction	-	BioGRID
144468	856409	852541	36445	32934	YHR016C	YBR239C	YSC84	ERT1	LSB4	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Ysc84 SH3 interaction	-	BioGRID
144469	856409	856301	36445	36344	YHR016C	YPR171W	YSC84	BSP1	LSB4	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Ysc84 SH3 interaction	-	BioGRID
144470	856409	850836	36445	31413	YHR016C	YLR144C	YSC84	ACF2	LSB4	ENG2|PCA1	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Ysc84 SH3 interaction	-	BioGRID
144471	856409	853545	36445	33838	YHR016C	YJR083C	YSC84	ACF4	LSB4	-	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Ysc84 SH3 interaction	-	BioGRID
144472	856409	854353	36445	34576	YHR016C	YOR181W	YSC84	LAS17	LSB4	BEE1	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Ysc84 SH3 interaction	-	BioGRID
144473	856409	855230	36445	35370	YHR016C	YMR192W	YSC84	GYL1	LSB4	APP2	Protein-peptide	physical	Landgraf C (2004)	14737190	559292	559292	Low Throughput	-	-	-	Ysc84 SH3 interaction	-	BioGRID
144478	850450	855584	31060	35688	YCR088W	YNL138W	ABP1	SRV2	-	CAP	Protein-peptide	physical	Rath A (2000)	11206067	559292	559292	Low Throughput	-	-	-	Abp1 SH3 interaction with Srv2 peptide	-	BioGRID
144484	855483	852276	35601	32692	YNL238W	YBL007C	KEX2	SLA1	QDS1|VMA45|SRB1	-	Protein-peptide	physical	Howard JP (2002)	11940605	559292	559292	Low Throughput	-	-	-	Kex2 NPFSD motif and Sla SHD1 domain	-	BioGRID
144684	855478	850504	35596	31107	YNL243W	YFL039C	SLA2	ACT1	END4|MOP2	ABY1|END7	Protein-peptide	physical	McCann RO (1999)	10581178	559292	559292	Low Throughput	-	-	-	Sla2 aa 771-968	-	BioGRID
144795	851259	855725	31786	35818	YAL005C	YNL007C	SSA1	SIS1	YG100	-	Protein-peptide	physical	Qian X (2002)	11743879	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
144963	852747	851415	33121	31921	YGL130W	YDL140C	CEG1	RPO21	-	SUA8|RPB220|RPB1	Protein-peptide	physical	Takagi T (2002)	12455993	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145375	853271	851415	33591	31921	YJL168C	YDL140C	SET2	RPO21	EZL1	SUA8|RPB220|RPB1	Protein-peptide	physical	Li B (2003)	12511561	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
145420	855499	851415	35614	31921	YNL222W	YDL140C	SSU72	RPO21	-	SUA8|RPB220|RPB1	Protein-peptide	physical	Krishnamurthy S (2004)	15125841	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
146992	851163	852294	31701	32710	YLR442C	YBR009C	SIR3	HHF1	STE8|CMT1|MAR2	-	Protein-peptide	physical	Carmen AA (2002)	11714726	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
