#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
152298	855751	853298	35842	33615	YNR017W	YJL143W	TIM23	TIM17	MIM23|MAS6|MPI3	SMS1|MPI2|MIM17	Co-purification	physical	Schuelke N (1999)	10428870	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152299	855751	854790	35842	34966	YNR017W	YIL022W	TIM23	TIM44	MIM23|MAS6|MPI3	MIM44|ISP45|MPI1	Co-purification	physical	Schuelke N (1999)	10428870	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152300	855751	855592	35842	35696	YNR017W	YNL131W	TIM23	TOM22	MIM23|MAS6|MPI3	MOM22|MAS22|MAS17	Co-purification	physical	Schuelke N (1999)	10428870	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152301	855751	855243	35842	35381	YNR017W	YMR203W	TIM23	TOM40	MIM23|MAS6|MPI3	ISP42|MOM38	Co-purification	physical	Schuelke N (1999)	10428870	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152302	851415	851100	31921	31643	YDL140C	YLR384C	RPO21	IKI3	SUA8|RPB220|RPB1	TOT1|KTI7|ELP1	Co-purification	physical	Otero G (1999)	10024884	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152303	851415	854322	31921	34547	YDL140C	YOR151C	RPO21	RPB2	SUA8|RPB220|RPB1	SIT2|SOH2|RPO22|RPB150	Co-purification	physical	Otero G (1999)	10024884	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152304	851415	854791	31921	34967	YDL140C	YIL021W	RPO21	RPB3	SUA8|RPB220|RPB1	-	Co-purification	physical	Otero G (1999)	10024884	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152305	851415	853301	31921	33617	YDL140C	YJL140W	RPO21	RPB4	SUA8|RPB220|RPB1	CTF15	Co-purification	physical	Otero G (1999)	10024884	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152306	851415	852451	31921	32853	YDL140C	YBR154C	RPO21	RPB5	SUA8|RPB220|RPB1	-	Co-purification	physical	Otero G (1999)	10024884	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152307	853712	854735	33991	34917	YKL145W	YIL075C	RPT1	RPN2	YTA3|CIM5	SEN3	Co-purification	physical	DeMarini DJ (1995)	7565784	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152308	851645	856360	32128	36397	YDR073W	YHL025W	SNF11	SNF6	-	-	Co-purification	physical	Treich I (1995)	7623818	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152309	852177	853585	32606	33877	YBL099W	YJR121W	ATP1	ATP2	-	-	Co-purification	physical	Yao B (1999)	10449236	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
152311	854954	851572	35117	32061	YML051W	YDR009W	GAL80	GAL3	-	-	Co-purification	physical	Timson DJ (2002)	11964151	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
